id,word,translation,transcription,audioText,category,difficulty,mnemonic_short,mnemonic_full,example_en,example_ru,work_example_en,work_example_ru,image,status,review_stage,error_count,created_at
"seed-basic-before","before","до","/before/","before","Basic A1","easy","Представь простой диалог, где встречается ""before"", и вспомни перевод ""до"".","Представь простой диалог, где встречается ""before"", и вспомни перевод ""до"".","The word ""before"" often appears in simple English.","Слово ""before"" часто встречается в простом английском.","You may see the word ""before"" in a short work message.","Ты можешь встретить слово ""before"" в коротком рабочем сообщении.","🗣️","new","0","0","2026-03-18"
"seed-basic-begin","begin","начинать","/begin/","begin","Basic A1","easy","Проговори ""begin"" вслух и свяжи его с переводом ""начинать"".","Проговори ""begin"" вслух и свяжи его с переводом ""начинать"".","The word ""begin"" is useful for beginner English.","Слово ""begin"" полезно для начинающего уровня английского.","I added the word ""begin"" to today's study list.","Я добавил слово ""begin"" в сегодняшний список для изучения.","🗣️","new","0","0","2026-03-19"
"seed-basic-believe","believe","верить","/believe/","believe","Basic A1","easy","Представь простой диалог, где встречается ""believe"", и вспомни перевод ""верить"".","Представь простой диалог, где встречается ""believe"", и вспомни перевод ""верить"".","I want to remember the word ""believe"" today.","Я хочу запомнить слово ""believe"" сегодня.","The word ""believe"" can appear in a simple client chat.","Слово ""believe"" может встретиться в простом чате с клиентом.","🗣️","new","0","0","2026-03-20"
"seed-basic-best","best","лучший","/best/","best","Basic A1","easy","Проговори ""best"" вслух и свяжи его с переводом ""лучший"".","Проговори ""best"" вслух и свяжи его с переводом ""лучший"".","The word ""best"" often appears in simple English.","Слово ""best"" часто встречается в простом английском.","You may see the word ""best"" in a short work message.","Ты можешь встретить слово ""best"" в коротком рабочем сообщении.","🗣️","new","0","0","2026-03-21"
"seed-basic-better","better","лучше","/better/","better","Basic A1","easy","Представь простой диалог, где встречается ""better"", и вспомни перевод ""лучше"".","Представь простой диалог, где встречается ""better"", и вспомни перевод ""лучше"".","The word ""better"" is useful for beginner English.","Слово ""better"" полезно для начинающего уровня английского.","I added the word ""better"" to today's study list.","Я добавил слово ""better"" в сегодняшний список для изучения.","🗣️","new","0","0","2026-03-22"
"seed-basic-bicycle","bicycle","велосипед","/bicycle/","bicycle","Basic A1","easy","Проговори ""bicycle"" вслух и свяжи его с переводом ""велосипед"".","Проговори ""bicycle"" вслух и свяжи его с переводом ""велосипед"".","I want to remember the word ""bicycle"" today.","Я хочу запомнить слово ""bicycle"" сегодня.","The word ""bicycle"" can appear in a simple client chat.","Слово ""bicycle"" может встретиться в простом чате с клиентом.","🗣️","new","0","0","2026-03-23"
"seed-basic-biology","biology","биология","/biology/","biology","Basic A1","easy","Представь простой диалог, где встречается ""biology"", и вспомни перевод ""биология"".","Представь простой диалог, где встречается ""biology"", и вспомни перевод ""биология"".","The word ""biology"" often appears in simple English.","Слово ""biology"" часто встречается в простом английском.","You may see the word ""biology"" in a short work message.","Ты можешь встретить слово ""biology"" в коротком рабочем сообщении.","🗣️","new","0","0","2026-03-24"
"seed-basic-blanket","blanket","плед","/blanket/","blanket","Basic A1","easy","Проговори ""blanket"" вслух и свяжи его с переводом ""плед"".","Проговори ""blanket"" вслух и свяжи его с переводом ""плед"".","The word ""blanket"" is useful for beginner English.","Слово ""blanket"" полезно для начинающего уровня английского.","I added the word ""blanket"" to today's study list.","Я добавил слово ""blanket"" в сегодняшний список для изучения.","🗣️","new","0","0","2026-03-25"
"seed-basic-blood","blood","кровь","/blood/","blood","Basic A1","easy","Представь простой диалог, где встречается ""blood"", и вспомни перевод ""кровь"".","Представь простой диалог, где встречается ""blood"", и вспомни перевод ""кровь"".","I want to remember the word ""blood"" today.","Я хочу запомнить слово ""blood"" сегодня.","The word ""blood"" can appear in a simple client chat.","Слово ""blood"" может встретиться в простом чате с клиентом.","🗣️","new","0","0","2026-03-26"
"seed-basic-boat","boat","лодка","/boat/","boat","Basic A1","easy","Проговори ""boat"" вслух и свяжи его с переводом ""лодка"".","Проговори ""boat"" вслух и свяжи его с переводом ""лодка"".","The word ""boat"" often appears in simple English.","Слово ""boat"" часто встречается в простом английском.","You may see the word ""boat"" in a short work message.","Ты можешь встретить слово ""boat"" в коротком рабочем сообщении.","🗣️","new","0","0","2026-03-27"
"seed-basic-body","body","тело","/body/","body","Basic A1","easy","Представь простой диалог, где встречается ""body"", и вспомни перевод ""тело"".","Представь простой диалог, где встречается ""body"", и вспомни перевод ""тело"".","The word ""body"" is useful for beginner English.","Слово ""body"" полезно для начинающего уровня английского.","I added the word ""body"" to today's study list.","Я добавил слово ""body"" в сегодняшний список для изучения.","🗣️","new","0","0","2026-03-28"
"seed-basic-boss","boss","начальник","/boss/","boss","Basic A1","easy","Проговори ""boss"" вслух и свяжи его с переводом ""начальник"".","Проговори ""boss"" вслух и свяжи его с переводом ""начальник"".","I want to remember the word ""boss"" today.","Я хочу запомнить слово ""boss"" сегодня.","The word ""boss"" can appear in a simple client chat.","Слово ""boss"" может встретиться в простом чате с клиентом.","🗣️","new","0","0","2026-04-01"
"seed-basic-bottle","bottle","бутылка","/bottle/","bottle","Basic A1","easy","Представь простой диалог, где встречается ""bottle"", и вспомни перевод ""бутылка"".","Представь простой диалог, где встречается ""bottle"", и вспомни перевод ""бутылка"".","The word ""bottle"" often appears in simple English.","Слово ""bottle"" часто встречается в простом английском.","You may see the word ""bottle"" in a short work message.","Ты можешь встретить слово ""bottle"" в коротком рабочем сообщении.","🗣️","new","0","0","2026-04-02"
"seed-basic-box","box","коробка","/box/","box","Basic A1","easy","Проговори ""box"" вслух и свяжи его с переводом ""коробка"".","Проговори ""box"" вслух и свяжи его с переводом ""коробка"".","The word ""box"" is useful for beginner English.","Слово ""box"" полезно для начинающего уровня английского.","I added the word ""box"" to today's study list.","Я добавил слово ""box"" в сегодняшний список для изучения.","🗣️","new","0","0","2026-04-03"
"seed-basic-bread","bread","хлеб","/bread/","bread","Basic A1","easy","Представь простой диалог, где встречается ""bread"", и вспомни перевод ""хлеб"".","Представь простой диалог, где встречается ""bread"", и вспомни перевод ""хлеб"".","I want to remember the word ""bread"" today.","Я хочу запомнить слово ""bread"" сегодня.","The word ""bread"" can appear in a simple client chat.","Слово ""bread"" может встретиться в простом чате с клиентом.","🗣️","new","0","0","2026-04-04"
"seed-basic-breakfast","breakfast","завтрак","/breakfast/","breakfast","Basic A1","easy","Проговори ""breakfast"" вслух и свяжи его с переводом ""завтрак"".","Проговори ""breakfast"" вслух и свяжи его с переводом ""завтрак"".","The word ""breakfast"" often appears in simple English.","Слово ""breakfast"" часто встречается в простом английском.","You may see the word ""breakfast"" in a short work message.","Ты можешь встретить слово ""breakfast"" в коротком рабочем сообщении.","🗣️","new","0","0","2026-04-05"
"seed-basic-bridge","bridge","мост","/bridge/","bridge","Basic A1","easy","Bridge похоже на «бриджи». Представь человека в бриджах, который стоит посреди моста: bridge = мост.","Для слова Bridge [brɪdʒ] лучше всего работает созвучие с русским словом «бриджи» и яркий образ моста.

Фонетическая привязка:
- БРИДЖИ: Представь человека в ярких бриджах, который стоит прямо посреди моста.
- БРИДЖ НА МОСТУ: Вообрази людей, которые зачем-то играют в бридж прямо на мосту.

Сюжет / Фраза: «Бриджи на bridge». Ты сразу видишь человека в бриджах и мост под ним.

Визуальный образ: Представь длинный мост через реку, а на середине — человека в ярких бриджах, которого невозможно не заметить.

Связка (Bridge over the river): Представь мост через реку на открытке или в фильме. Bridge over the river = мост через реку.

Рабочий контекст: Это не рабочий термин для Webflow, но как базовое слово он полезен и легко запоминается через образ.","The word ""bridge"" is useful for beginner English.","Слово ""bridge"" полезно для начинающего уровня английского.","I added the word ""bridge"" to today's study list.","Я добавил слово ""bridge"" в сегодняшний список для изучения.","🗣️","new","0","0","2026-04-06"
"seed-basic-brother","brother","брат","/brother/","brother","Basic A1","easy","Проговори ""brother"" вслух и свяжи его с переводом ""брат"".","Проговори ""brother"" вслух и свяжи его с переводом ""брат"".","I want to remember the word ""brother"" today.","Я хочу запомнить слово ""brother"" сегодня.","The word ""brother"" can appear in a simple client chat.","Слово ""brother"" может встретиться в простом чате с клиентом.","🗣️","new","0","0","2026-04-07"
"seed-basic-bus","bus","автобус","/bus/","bus","Basic A1","easy","Представь простой диалог, где встречается ""bus"", и вспомни перевод ""автобус"".","Представь простой диалог, где встречается ""bus"", и вспомни перевод ""автобус"".","The word ""bus"" often appears in simple English.","Слово ""bus"" часто встречается в простом английском.","You may see the word ""bus"" in a short work message.","Ты можешь встретить слово ""bus"" в коротком рабочем сообщении.","🗣️","new","0","0","2026-04-08"
"seed-basic-business","business","бизнес","/business/","business","Basic A1","easy","Проговори ""business"" вслух и свяжи его с переводом ""бизнес"".","Проговори ""business"" вслух и свяжи его с переводом ""бизнес"".","The word ""business"" is useful for beginner English.","Слово ""business"" полезно для начинающего уровня английского.","I added the word ""business"" to today's study list.","Я добавил слово ""business"" в сегодняшний список для изучения.","🗣️","new","0","0","2026-04-09"
"seed-basic-cafe","cafe","кафе","/cafe/","cafe","Basic A1","easy","Представь простой диалог, где встречается ""cafe"", и вспомни перевод ""кафе"".","Представь простой диалог, где встречается ""cafe"", и вспомни перевод ""кафе"".","I want to remember the word ""cafe"" today.","Я хочу запомнить слово ""cafe"" сегодня.","The word ""cafe"" can appear in a simple client chat.","Слово ""cafe"" может встретиться в простом чате с клиентом.","🗣️","new","0","0","2026-04-10"
"seed-basic-camp","camp","лагерь","/camp/","camp","Basic A1","easy","Проговори ""camp"" вслух и свяжи его с переводом ""лагерь"".","Проговори ""camp"" вслух и свяжи его с переводом ""лагерь"".","The word ""camp"" often appears in simple English.","Слово ""camp"" часто встречается в простом английском.","You may see the word ""camp"" in a short work message.","Ты можешь встретить слово ""camp"" в коротком рабочем сообщении.","🗣️","new","0","0","2026-04-11"
"seed-basic-capital","capital","столица","/capital/","capital","Basic A1","easy","Представь простой диалог, где встречается ""capital"", и вспомни перевод ""столица"".","Представь простой диалог, где встречается ""capital"", и вспомни перевод ""столица"".","The word ""capital"" is useful for beginner English.","Слово ""capital"" полезно для начинающего уровня английского.","I added the word ""capital"" to today's study list.","Я добавил слово ""capital"" в сегодняшний список для изучения.","🗣️","new","0","0","2026-04-12"
"seed-basic-captain","captain","капитан","/captain/","captain","Basic A1","easy","Проговори ""captain"" вслух и свяжи его с переводом ""капитан"".","Проговори ""captain"" вслух и свяжи его с переводом ""капитан"".","I want to remember the word ""captain"" today.","Я хочу запомнить слово ""captain"" сегодня.","The word ""captain"" can appear in a simple client chat.","Слово ""captain"" может встретиться в простом чате с клиентом.","🗣️","new","0","0","2026-04-13"
"seed-basic-care","care","забота","/care/","care","Basic A1","easy","Представь простой диалог, где встречается ""care"", и вспомни перевод ""забота"".","Представь простой диалог, где встречается ""care"", и вспомни перевод ""забота"".","The word ""care"" often appears in simple English.","Слово ""care"" часто встречается в простом английском.","You may see the word ""care"" in a short work message.","Ты можешь встретить слово ""care"" в коротком рабочем сообщении.","🗣️","new","0","0","2026-04-14"
"seed-basic-carry","carry","нести","/carry/","carry","Basic A1","easy","Проговори ""carry"" вслух и свяжи его с переводом ""нести"".","Проговори ""carry"" вслух и свяжи его с переводом ""нести"".","The word ""carry"" is useful for beginner English.","Слово ""carry"" полезно для начинающего уровня английского.","I added the word ""carry"" to today's study list.","Я добавил слово ""carry"" в сегодняшний список для изучения.","🗣️","new","0","0","2026-04-15"
"seed-basic-case","case","случай","/case/","case","Basic A1","easy","Представь простой диалог, где встречается ""case"", и вспомни перевод ""случай"".","Представь простой диалог, где встречается ""case"", и вспомни перевод ""случай"".","I want to remember the word ""case"" today.","Я хочу запомнить слово ""case"" сегодня.","The word ""case"" can appear in a simple client chat.","Слово ""case"" может встретиться в простом чате с клиентом.","🗣️","new","0","0","2026-04-16"
"seed-basic-catch","catch","ловить","/catch/","catch","Basic A1","easy","Проговори ""catch"" вслух и свяжи его с переводом ""ловить"".","Проговори ""catch"" вслух и свяжи его с переводом ""ловить"".","The word ""catch"" often appears in simple English.","Слово ""catch"" часто встречается в простом английском.","You may see the word ""catch"" in a short work message.","Ты можешь встретить слово ""catch"" в коротком рабочем сообщении.","🗣️","new","0","0","2026-04-17"
"seed-basic-center","center","центр","/center/","center","Basic A1","easy","Представь простой диалог, где встречается ""center"", и вспомни перевод ""центр"".","Представь простой диалог, где встречается ""center"", и вспомни перевод ""центр"".","The word ""center"" is useful for beginner English.","Слово ""center"" полезно для начинающего уровня английского.","I added the word ""center"" to today's study list.","Я добавил слово ""center"" в сегодняшний список для изучения.","🗣️","new","0","0","2026-04-18"
"seed-basic-century","century","век","/century/","century","Basic A1","easy","Проговори ""century"" вслух и свяжи его с переводом ""век"".","Проговори ""century"" вслух и свяжи его с переводом ""век"".","I want to remember the word ""century"" today.","Я хочу запомнить слово ""century"" сегодня.","The word ""century"" can appear in a simple client chat.","Слово ""century"" может встретиться в простом чате с клиентом.","🗣️","new","0","0","2026-04-19"
"seed-basic-chance","chance","шанс","/chance/","chance","Basic A1","easy","Представь простой диалог, где встречается ""chance"", и вспомни перевод ""шанс"".","Представь простой диалог, где встречается ""chance"", и вспомни перевод ""шанс"".","The word ""chance"" often appears in simple English.","Слово ""chance"" часто встречается в простом английском.","You may see the word ""chance"" in a short work message.","Ты можешь встретить слово ""chance"" в коротком рабочем сообщении.","🗣️","new","0","0","2026-04-20"
"seed-basic-character","character","характер","/character/","character","Basic A1","easy","Проговори ""character"" вслух и свяжи его с переводом ""характер"".","Проговори ""character"" вслух и свяжи его с переводом ""характер"".","The word ""character"" is useful for beginner English.","Слово ""character"" полезно для начинающего уровня английского.","I added the word ""character"" to today's study list.","Я добавил слово ""character"" в сегодняшний список для изучения.","🗣️","new","0","0","2026-04-21"
"seed-basic-chart","chart","диаграмма","/chart/","chart","Basic A1","easy","Представь простой диалог, где встречается ""chart"", и вспомни перевод ""диаграмма"".","Представь простой диалог, где встречается ""chart"", и вспомни перевод ""диаграмма"".","I want to remember the word ""chart"" today.","Я хочу запомнить слово ""chart"" сегодня.","The word ""chart"" can appear in a simple client chat.","Слово ""chart"" может встретиться в простом чате с клиентом.","🗣️","new","0","0","2026-04-22"
"seed-basic-check","check","проверять","/check/","check","Basic A1","easy","Проговори ""check"" вслух и свяжи его с переводом ""проверять"".","Проговори ""check"" вслух и свяжи его с переводом ""проверять"".","The word ""check"" often appears in simple English.","Слово ""check"" часто встречается в простом английском.","You may see the word ""check"" in a short work message.","Ты можешь встретить слово ""check"" в коротком рабочем сообщении.","🗣️","new","0","0","2026-04-23"
"seed-basic-child","child","ребёнок","/child/","child","Basic A1","easy","Представь простой диалог, где встречается ""child"", и вспомни перевод ""ребёнок"".","Представь простой диалог, где встречается ""child"", и вспомни перевод ""ребёнок"".","The word ""child"" is useful for beginner English.","Слово ""child"" полезно для начинающего уровня английского.","I added the word ""child"" to today's study list.","Я добавил слово ""child"" в сегодняшний список для изучения.","🗣️","new","0","0","2026-04-24"
"seed-basic-choice","choice","выбор","/choice/","choice","Basic A1","easy","Проговори ""choice"" вслух и свяжи его с переводом ""выбор"".","Проговори ""choice"" вслух и свяжи его с переводом ""выбор"".","I want to remember the word ""choice"" today.","Я хочу запомнить слово ""choice"" сегодня.","The word ""choice"" can appear in a simple client chat.","Слово ""choice"" может встретиться в простом чате с клиентом.","🗣️","new","0","0","2026-04-25"
"seed-basic-church","church","церковь","/church/","church","Basic A1","easy","Представь простой диалог, где встречается ""church"", и вспомни перевод ""церковь"".","Представь простой диалог, где встречается ""church"", и вспомни перевод ""церковь"".","The word ""church"" often appears in simple English.","Слово ""church"" часто встречается в простом английском.","You may see the word ""church"" in a short work message.","Ты можешь встретить слово ""church"" в коротком рабочем сообщении.","🗣️","new","0","0","2026-04-26"
"seed-basic-citizen","citizen","гражданин","/citizen/","citizen","Basic A1","easy","Проговори ""citizen"" вслух и свяжи его с переводом ""гражданин"".","Проговори ""citizen"" вслух и свяжи его с переводом ""гражданин"".","The word ""citizen"" is useful for beginner English.","Слово ""citizen"" полезно для начинающего уровня английского.","I added the word ""citizen"" to today's study list.","Я добавил слово ""citizen"" в сегодняшний список для изучения.","🗣️","new","0","0","2026-04-27"
"seed-basic-clothes","clothes","одежда","/clothes/","clothes","Basic A1","easy","Представь простой диалог, где встречается ""clothes"", и вспомни перевод ""одежда"".","Представь простой диалог, где встречается ""clothes"", и вспомни перевод ""одежда"".","I want to remember the word ""clothes"" today.","Я хочу запомнить слово ""clothes"" сегодня.","The word ""clothes"" can appear in a simple client chat.","Слово ""clothes"" может встретиться в простом чате с клиентом.","🗣️","new","0","0","2026-04-28"
"seed-basic-coach","coach","тренер","/coach/","coach","Basic A1","easy","Проговори ""coach"" вслух и свяжи его с переводом ""тренер"".","Проговори ""coach"" вслух и свяжи его с переводом ""тренер"".","The word ""coach"" often appears in simple English.","Слово ""coach"" часто встречается в простом английском.","You may see the word ""coach"" in a short work message.","Ты можешь встретить слово ""coach"" в коротком рабочем сообщении.","🗣️","new","0","0","2026-05-01"
"seed-basic-coast","coast","побережье","/coast/","coast","Basic A1","easy","Представь простой диалог, где встречается ""coast"", и вспомни перевод ""побережье"".","Представь простой диалог, где встречается ""coast"", и вспомни перевод ""побережье"".","The word ""coast"" is useful for beginner English.","Слово ""coast"" полезно для начинающего уровня английского.","I added the word ""coast"" to today's study list.","Я добавил слово ""coast"" в сегодняшний список для изучения.","🗣️","new","0","0","2026-05-02"
"seed-basic-collect","collect","собирать","/collect/","collect","Basic A1","easy","Проговори ""collect"" вслух и свяжи его с переводом ""собирать"".","Проговори ""collect"" вслух и свяжи его с переводом ""собирать"".","I want to remember the word ""collect"" today.","Я хочу запомнить слово ""collect"" сегодня.","The word ""collect"" can appear in a simple client chat.","Слово ""collect"" может встретиться в простом чате с клиентом.","🗣️","new","0","0","2026-05-03"
"seed-basic-community","community","сообщество","/community/","community","Basic A1","easy","Представь простой диалог, где встречается ""community"", и вспомни перевод ""сообщество"".","Представь простой диалог, где встречается ""community"", и вспомни перевод ""сообщество"".","The word ""community"" often appears in simple English.","Слово ""community"" часто встречается в простом английском.","You may see the word ""community"" in a short work message.","Ты можешь встретить слово ""community"" в коротком рабочем сообщении.","🗣️","new","0","0","2026-05-04"
"seed-basic-compare","compare","сравнивать","/compare/","compare","Basic A1","easy","Проговори ""compare"" вслух и свяжи его с переводом ""сравнивать"".","Проговори ""compare"" вслух и свяжи его с переводом ""сравнивать"".","The word ""compare"" is useful for beginner English.","Слово ""compare"" полезно для начинающего уровня английского.","I added the word ""compare"" to today's study list.","Я добавил слово ""compare"" в сегодняшний список для изучения.","🗣️","new","0","0","2026-05-05"
"seed-basic-complete","complete","завершать","/complete/","complete","Basic A1","easy","Представь простой диалог, где встречается ""complete"", и вспомни перевод ""завершать"".","Представь простой диалог, где встречается ""complete"", и вспомни перевод ""завершать"".","I want to remember the word ""complete"" today.","Я хочу запомнить слово ""complete"" сегодня.","The word ""complete"" can appear in a simple client chat.","Слово ""complete"" может встретиться в простом чате с клиентом.","🗣️","new","0","0","2026-05-06"
"seed-basic-computer","computer","компьютер","/computer/","computer","Basic A1","easy","Проговори ""computer"" вслух и свяжи его с переводом ""компьютер"".","Проговори ""computer"" вслух и свяжи его с переводом ""компьютер"".","The word ""computer"" often appears in simple English.","Слово ""computer"" часто встречается в простом английском.","You may see the word ""computer"" in a short work message.","Ты можешь встретить слово ""computer"" в коротком рабочем сообщении.","🗣️","new","0","0","2026-05-07"
"seed-basic-condition","condition","условие","/condition/","condition","Basic A1","easy","Представь простой диалог, где встречается ""condition"", и вспомни перевод ""условие"".","Представь простой диалог, где встречается ""condition"", и вспомни перевод ""условие"".","The word ""condition"" is useful for beginner English.","Слово ""condition"" полезно для начинающего уровня английского.","I added the word ""condition"" to today's study list.","Я добавил слово ""condition"" в сегодняшний список для изучения.","🗣️","new","0","0","2026-05-08"
"seed-basic-conversation","conversation","разговор","/conversation/","conversation","Basic A1","easy","Проговори ""conversation"" вслух и свяжи его с переводом ""разговор"".","Проговори ""conversation"" вслух и свяжи его с переводом ""разговор"".","I want to remember the word ""conversation"" today.","Я хочу запомнить слово ""conversation"" сегодня.","The word ""conversation"" can appear in a simple client chat.","Слово ""conversation"" может встретиться в простом чате с клиентом.","🗣️","new","0","0","2026-05-09"
"seed-basic-corner","corner","угол","/corner/","corner","Basic A1","easy","Представь простой диалог, где встречается ""corner"", и вспомни перевод ""угол"".","Представь простой диалог, где встречается ""corner"", и вспомни перевод ""угол"".","The word ""corner"" often appears in simple English.","Слово ""corner"" часто встречается в простом английском.","You may see the word ""corner"" in a short work message.","Ты можешь встретить слово ""corner"" в коротком рабочем сообщении.","🗣️","new","0","0","2026-05-10"
"seed-basic-country","country","страна","/country/","country","Basic A1","easy","Проговори ""country"" вслух и свяжи его с переводом ""страна"".","Проговори ""country"" вслух и свяжи его с переводом ""страна"".","The word ""country"" is useful for beginner English.","Слово ""country"" полезно для начинающего уровня английского.","I added the word ""country"" to today's study list.","Я добавил слово ""country"" в сегодняшний список для изучения.","🗣️","new","0","0","2026-05-11"
"seed-basic-course","course","курс","/course/","course","Basic A1","easy","Представь простой диалог, где встречается ""course"", и вспомни перевод ""курс"".","Представь простой диалог, где встречается ""course"", и вспомни перевод ""курс"".","I want to remember the word ""course"" today.","Я хочу запомнить слово ""course"" сегодня.","The word ""course"" can appear in a simple client chat.","Слово ""course"" может встретиться в простом чате с клиентом.","🗣️","new","0","0","2026-05-12"
"seed-basic-cover","cover","покрывать","/cover/","cover","Basic A1","easy","Проговори ""cover"" вслух и свяжи его с переводом ""покрывать"".","Проговори ""cover"" вслух и свяжи его с переводом ""покрывать"".","The word ""cover"" often appears in simple English.","Слово ""cover"" часто встречается в простом английском.","You may see the word ""cover"" in a short work message.","Ты можешь встретить слово ""cover"" в коротком рабочем сообщении.","🗣️","new","0","0","2026-05-13"
"seed-basic-create","create","создавать","/create/","create","Basic A1","easy","Представь простой диалог, где встречается ""create"", и вспомни перевод ""создавать"".","Представь простой диалог, где встречается ""create"", и вспомни перевод ""создавать"".","The word ""create"" is useful for beginner English.","Слово ""create"" полезно для начинающего уровня английского.","I added the word ""create"" to today's study list.","Я добавил слово ""create"" в сегодняшний список для изучения.","🗣️","new","0","0","2026-05-14"
"seed-basic-crowd","crowd","толпа","/crowd/","crowd","Basic A1","easy","Crowd звучит как «крауд» -> «крадут». Представь плотную толпу в метро, где в давке могут что-то украсть: crowd = толпа.","Для слова Crowd [kraʊd] лучше всего работает звуковая ассоциация и образ плотной, шумной толпы.

Фонетическая привязка:
- КРАУД -> КРАДУТ: В толпе легко что-то украсть. Представь метро в час пик: crowd = толпа, где могут красть.
- КРАДЁТСЯ ТОЛПА: Представь, как огромная толпа медленно крадётся вперёд, потому что людям тесно.

Сюжет / Фраза: «В crowd легко крадут». Ты стоишь в давке, вокруг шум, и вся сцена сразу связывает слово с толпой.

Визуальный образ: Представь переполненную платформу метро: люди стоят плечом к плечу, шумят и с трудом двигаются вперёд.

Связка (Large crowd): Представь большую толпу у сцены или возле входа в метро. Large crowd = большая толпа.

Рабочий контекст: Crowd — это именно много людей в одном месте, а не просто маленькая группа.","I want to remember the word ""crowd"" today.","Я хочу запомнить слово ""crowd"" сегодня.","The word ""crowd"" can appear in a simple client chat.","Слово ""crowd"" может встретиться в простом чате с клиентом.","🗣️","new","0","0","2026-05-15"
"seed-basic-culture","culture","культура","/culture/","culture","Basic A1","easy","Представь простой диалог, где встречается ""culture"", и вспомни перевод ""культура"".","Представь простой диалог, где встречается ""culture"", и вспомни перевод ""культура"".","The word ""culture"" often appears in simple English.","Слово ""culture"" часто встречается в простом английском.","You may see the word ""culture"" in a short work message.","Ты можешь встретить слово ""culture"" в коротком рабочем сообщении.","🗣️","new","0","0","2026-05-16"
"seed-basic-customer","customer","клиент","/customer/","customer","Basic A1","easy","Проговори ""customer"" вслух и свяжи его с переводом ""клиент"".","Проговори ""customer"" вслух и свяжи его с переводом ""клиент"".","The word ""customer"" is useful for beginner English.","Слово ""customer"" полезно для начинающего уровня английского.","I added the word ""customer"" to today's study list.","Я добавил слово ""customer"" в сегодняшний список для изучения.","🗣️","new","0","0","2026-05-17"
"seed-basic-dance","dance","танцевать","/dance/","dance","Basic A1","easy","Представь простой диалог, где встречается ""dance"", и вспомни перевод ""танцевать"".","Представь простой диалог, где встречается ""dance"", и вспомни перевод ""танцевать"".","I want to remember the word ""dance"" today.","Я хочу запомнить слово ""dance"" сегодня.","The word ""dance"" can appear in a simple client chat.","Слово ""dance"" может встретиться в простом чате с клиентом.","🗣️","new","0","0","2026-05-18"
"seed-basic-danger","danger","опасность","/danger/","danger","Basic A1","easy","Проговори ""danger"" вслух и свяжи его с переводом ""опасность"".","Проговори ""danger"" вслух и свяжи его с переводом ""опасность"".","The word ""danger"" often appears in simple English.","Слово ""danger"" часто встречается в простом английском.","You may see the word ""danger"" in a short work message.","Ты можешь встретить слово ""danger"" в коротком рабочем сообщении.","🗣️","new","0","0","2026-05-19"
"seed-basic-daughter","daughter","дочь","/daughter/","daughter","Basic A1","easy","Представь простой диалог, где встречается ""daughter"", и вспомни перевод ""дочь"".","Представь простой диалог, где встречается ""daughter"", и вспомни перевод ""дочь"".","The word ""daughter"" is useful for beginner English.","Слово ""daughter"" полезно для начинающего уровня английского.","I added the word ""daughter"" to today's study list.","Я добавил слово ""daughter"" в сегодняшний список для изучения.","🗣️","new","0","0","2026-05-20"
"seed-basic-decision","decision","решение","/decision/","decision","Basic A1","easy","Проговори ""decision"" вслух и свяжи его с переводом ""решение"".","Проговори ""decision"" вслух и свяжи его с переводом ""решение"".","I want to remember the word ""decision"" today.","Я хочу запомнить слово ""decision"" сегодня.","The word ""decision"" can appear in a simple client chat.","Слово ""decision"" может встретиться в простом чате с клиентом.","🗣️","new","0","0","2026-05-21"
"seed-basic-deep","deep","глубокий","/deep/","deep","Basic A1","easy","Представь простой диалог, где встречается ""deep"", и вспомни перевод ""глубокий"".","Представь простой диалог, где встречается ""deep"", и вспомни перевод ""глубокий"".","The word ""deep"" often appears in simple English.","Слово ""deep"" часто встречается в простом английском.","You may see the word ""deep"" in a short work message.","Ты можешь встретить слово ""deep"" в коротком рабочем сообщении.","🗣️","new","0","0","2026-05-22"
"seed-basic-dentist","dentist","стоматолог","/dentist/","dentist","Basic A1","easy","Проговори ""dentist"" вслух и свяжи его с переводом ""стоматолог"".","Проговори ""dentist"" вслух и свяжи его с переводом ""стоматолог"".","The word ""dentist"" is useful for beginner English.","Слово ""dentist"" полезно для начинающего уровня английского.","I added the word ""dentist"" to today's study list.","Я добавил слово ""dentist"" в сегодняшний список для изучения.","🗣️","new","0","0","2026-05-23"
"seed-basic-desk","desk","стол","/desk/","desk","Basic A1","easy","Представь простой диалог, где встречается ""desk"", и вспомни перевод ""стол"".","Представь простой диалог, где встречается ""desk"", и вспомни перевод ""стол"".","I want to remember the word ""desk"" today.","Я хочу запомнить слово ""desk"" сегодня.","The word ""desk"" can appear in a simple client chat.","Слово ""desk"" может встретиться в простом чате с клиентом.","🗣️","new","0","0","2026-05-24"
